team_location,season,Cluster
Abilene Christian,2017,0
Abilene Christian,2018,1
Abilene Christian,2019,0
Abilene Christian,2020,1
Abilene Christian,2021,1
Abilene Christian,2022,1
Air Force,2017,0
Air Force,2018,2
Air Force,2019,2
Air Force,2020,0
Air Force,2021,2
Air Force,2022,2
Akron,2017,0
Akron,2018,0
Akron,2019,2
Akron,2020,0
Akron,2021,0
Akron,2022,0
Alabama,2017,2
Alabama,2018,1
Alabama,2019,1
Alabama,2020,0
Alabama,2021,1
Alabama,2022,1
Alabama A&M,2017,2
Alabama A&M,2018,2
Alabama A&M,2019,2
Alabama A&M,2020,2
Alabama A&M,2021,2
Alabama A&M,2022,2
Alabama State,2017,2
Alabama State,2018,2
Alabama State,2019,2
Alabama State,2020,2
Alabama State,2021,2
Alabama State,2022,2
Albany,2017,1
Albany,2018,1
Albany,2019,2
Albany,2020,2
Albany,2021,2
Albany,2022,2
Alcorn State,2017,1
Alcorn State,2018,2
Alcorn State,2019,2
Alcorn State,2020,1
Alcorn State,2021,2
Alcorn State,2022,2
American University,2017,2
American University,2018,2
American University,2019,0
American University,2020,1
American University,2022,2
Appalachian State,2017,1
Appalachian State,2018,1
Appalachian State,2019,0
Appalachian State,2020,2
Appalachian State,2021,2
Appalachian State,2022,2
Arizona,2017,0
Arizona,2018,0
Arizona,2019,2
Arizona,2020,1
Arizona,2021,1
Arizona,2022,0
Arizona State,2017,0
Arizona State,2018,0
Arizona State,2019,1
Arizona State,2020,1
Arizona State,2021,1
Arizona State,2022,2
Arkansas,2017,1
Arkansas,2018,1
Arkansas,2019,1
Arkansas,2020,1
Arkansas,2021,1
Arkansas,2022,1
Arkansas State,2017,1
Arkansas State,2018,1
Arkansas State,2019,1
Arkansas State,2020,2
Arkansas State,2021,1
Arkansas State,2022,1
Arkansas-Pine Bluff,2017,2
Arkansas-Pine Bluff,2018,2
Arkansas-Pine Bluff,2019,2
Arkansas-Pine Bluff,2020,2
Arkansas-Pine Bluff,2021,2
Arkansas-Pine Bluff,2022,2
Army,2017,0
Army,2018,0
Army,2019,0
Army,2020,0
Army,2021,0
Army,2022,1
Auburn,2017,1
Auburn,2018,1
Auburn,2019,0
Auburn,2020,1
Auburn,2021,1
Auburn,2022,1
Austin Peay,2017,0
Austin Peay,2018,1
Austin Peay,2019,1
Austin Peay,2020,1
Austin Peay,2021,1
Austin Peay,2022,2
BYU,2017,1
BYU,2018,0
BYU,2019,0
BYU,2020,0
BYU,2021,0
BYU,2022,0
Ball State,2017,0
Ball State,2018,0
Ball State,2019,1
Ball State,2020,0
Ball State,2021,0
Ball State,2022,0
Baylor,2017,1
Baylor,2018,1
Baylor,2019,1
Baylor,2020,1
Baylor,2021,0
Baylor,2022,1
Bellarmine,2021,0
Bellarmine,2022,0
Belmont,2017,0
Belmont,2018,0
Belmont,2019,0
Belmont,2020,0
Belmont,2021,0
Belmont,2022,0
Bethesda University,2021,2
Bethune-Cookman,2017,1
Bethune-Cookman,2018,1
Bethune-Cookman,2019,1
Bethune-Cookman,2020,1
Bethune-Cookman,2022,2
Binghamton,2017,2
Binghamton,2018,2
Binghamton,2019,2
Binghamton,2020,2
Binghamton,2021,2
Binghamton,2022,2
Boise State,2017,0
Boise State,2018,0
Boise State,2019,0
Boise State,2020,0
Boise State,2021,0
Boise State,2022,2
Boston College,2017,0
Boston College,2018,0
Boston College,2019,2
Boston College,2020,2
Boston College,2021,2
Boston College,2022,2
Boston University,2017,0
Boston University,2018,0
Boston University,2019,0
Boston University,2020,0
Boston University,2021,2
Boston University,2022,0
Bowling Green,2017,1
Bowling Green,2018,1
Bowling Green,2019,1
Bowling Green,2020,1
Bowling Green,2021,1
Bowling Green,2022,1
Bradley,2017,2
Bradley,2018,2
Bradley,2019,2
Bradley,2020,1
Bradley,2021,0
Bradley,2022,0
Brown,2017,1
Brown,2018,1
Brown,2019,1
Brown,2020,2
Brown,2022,2
Bryant,2017,1
Bryant,2018,2
Bryant,2019,2
Bryant,2020,1
Bryant,2021,0
Bryant,2022,1
Bucknell,2017,0
Bucknell,2018,0
Bucknell,2019,0
Bucknell,2020,2
Bucknell,2021,0
Bucknell,2022,0
Buffalo,2017,1
Buffalo,2018,0
Buffalo,2019,0
Buffalo,2020,1
Buffalo,2021,1
Buffalo,2022,1
Butler,2017,0
Butler,2018,0
Butler,2019,0
Butler,2020,0
Butler,2021,2
Butler,2022,2
Cal Poly,2017,2
Cal Poly,2018,2
Cal Poly,2019,2
Cal Poly,2020,2
Cal Poly,2021,2
Cal Poly,2022,2
Cal State Bakersfield,2017,1
Cal State Bakersfield,2018,2
Cal State Bakersfield,2019,1
Cal State Bakersfield,2020,1
Cal State Bakersfield,2021,1
Cal State Bakersfield,2022,2
Cal State Fullerton,2017,1
Cal State Fullerton,2018,1
Cal State Fullerton,2019,1
Cal State Fullerton,2020,2
Cal State Fullerton,2021,0
Cal State Fullerton,2022,2
Cal State Northridge,2017,1
Cal State Northridge,2018,2
Cal State Northridge,2019,1
Cal State Northridge,2020,0
Cal State Northridge,2021,2
Cal State Northridge,2022,2
California,2017,2
California,2018,2
California,2019,2
California,2020,2
California,2021,2
California,2022,2
California Baptist,2019,0
California Baptist,2020,0
California Baptist,2021,0
California Baptist,2022,0
Campbell,2017,0
Campbell,2018,0
Campbell,2019,0
Campbell,2020,0
Campbell,2021,0
Campbell,2022,0
Canisius,2017,0
Canisius,2018,0
Canisius,2019,2
Canisius,2020,2
Canisius,2021,2
Canisius,2022,2
Carver College,2021,2
Carver College,2022,2
Central Arkansas,2017,1
Central Arkansas,2018,1
Central Arkansas,2019,2
Central Arkansas,2020,1
Central Arkansas,2021,2
Central Arkansas,2022,1
Central Connecticut,2017,2
Central Connecticut,2018,2
Central Connecticut,2019,2
Central Connecticut,2020,2
Central Connecticut,2021,2
Central Connecticut,2022,2
Central Michigan,2017,0
Central Michigan,2018,0
Central Michigan,2019,1
Central Michigan,2020,1
Central Michigan,2021,1
Central Michigan,2022,2
Charleston,2017,2
Charleston,2018,0
Charleston,2019,0
Charleston,2020,2
Charleston,2021,0
Charleston,2022,1
Charleston Southern,2017,1
Charleston Southern,2018,1
Charleston Southern,2019,1
Charleston Southern,2020,2
Charleston Southern,2021,2
Charleston Southern,2022,2
Charlotte,2017,1
Charlotte,2018,2
Charlotte,2019,2
Charlotte,2020,2
Charlotte,2021,2
Charlotte,2022,0
Chattanooga,2017,1
Chattanooga,2018,2
Chattanooga,2019,0
Chattanooga,2020,0
Chattanooga,2021,0
Chattanooga,2022,0
Chicago State,2017,2
Chicago State,2018,2
Chicago State,2019,2
Chicago State,2020,2
Chicago State,2022,2
Cincinnati,2017,1
Cincinnati,2018,1
Cincinnati,2019,1
Cincinnati,2020,1
Cincinnati,2021,2
Cincinnati,2022,2
Clemson,2017,1
Clemson,2018,0
Clemson,2019,2
Clemson,2020,2
Clemson,2021,2
Clemson,2022,0
Cleveland State,2017,2
Cleveland State,2018,2
Cleveland State,2019,0
Cleveland State,2020,2
Cleveland State,2021,1
Cleveland State,2022,1
Coastal Carolina,2017,1
Coastal Carolina,2018,1
Coastal Carolina,2019,1
Coastal Carolina,2020,1
Coastal Carolina,2021,1
Coastal Carolina,2022,1
Colgate,2017,2
Colgate,2018,0
Colgate,2019,0
Colgate,2020,0
Colgate,2021,0
Colgate,2022,0
Colorado,2017,1
Colorado,2018,1
Colorado,2019,1
Colorado,2020,2
Colorado,2021,0
Colorado,2022,1
Colorado State,2017,1
Colorado State,2018,1
Colorado State,2019,0
Colorado State,2020,0
Colorado State,2021,0
Colorado State,2022,0
Columbia,2017,1
Columbia,2018,0
Columbia,2019,0
Columbia,2020,2
Columbia,2022,2
Coppin State,2017,2
Coppin State,2018,2
Coppin State,2019,2
Coppin State,2020,2
Coppin State,2021,2
Coppin State,2022,2
Cornell,2017,0
Cornell,2018,0
Cornell,2019,0
Cornell,2020,2
Cornell,2022,0
Creighton,2017,0
Creighton,2018,0
Creighton,2019,0
Creighton,2020,0
Creighton,2021,0
Creighton,2022,2
Dartmouth,2017,2
Dartmouth,2018,2
Dartmouth,2019,0
Dartmouth,2020,2
Dartmouth,2022,2
Davidson,2017,0
Davidson,2018,0
Davidson,2019,0
Davidson,2020,0
Davidson,2021,0
Davidson,2022,0
Dayton,2017,0
Dayton,2018,0
Dayton,2019,0
Dayton,2020,0
Dayton,2021,0
Dayton,2022,0
DePaul,2017,2
DePaul,2018,1
DePaul,2019,1
DePaul,2020,1
DePaul,2021,2
DePaul,2022,1
Delaware,2017,2
Delaware,2018,1
Delaware,2019,0
Delaware,2020,0
Delaware,2021,2
Delaware,2022,0
Delaware State,2017,2
Delaware State,2018,2
Delaware State,2019,2
Delaware State,2020,2
Delaware State,2021,2
Delaware State,2022,2
Denver,2017,0
Denver,2018,0
Denver,2019,2
Denver,2020,2
Denver,2021,2
Denver,2022,0
Detroit Mercy,2017,1
Detroit Mercy,2018,1
Detroit Mercy,2019,2
Detroit Mercy,2020,2
Detroit Mercy,2021,0
Detroit Mercy,2022,0
Drake,2017,2
Drake,2018,0
Drake,2019,0
Drake,2020,0
Drake,2021,0
Drake,2022,0
Drexel,2017,1
Drexel,2018,1
Drexel,2019,0
Drexel,2020,2
Drexel,2021,0
Drexel,2022,0
Duke,2017,0
Duke,2018,0
Duke,2019,1
Duke,2020,1
Duke,2021,0
Duke,2022,0
Duquesne,2017,2
Duquesne,2018,1
Duquesne,2019,1
Duquesne,2020,0
Duquesne,2021,2
Duquesne,2022,2
East Carolina,2017,2
East Carolina,2018,2
East Carolina,2019,2
East Carolina,2020,2
East Carolina,2021,2
East Carolina,2022,2
East Tennessee State,2017,1
East Tennessee State,2018,0
East Tennessee State,2019,0
East Tennessee State,2020,0
East Tennessee State,2021,2
East Tennessee State,2022,0
Eastern Illinois,2017,1
Eastern Illinois,2018,2
Eastern Illinois,2019,1
Eastern Illinois,2020,1
Eastern Illinois,2021,1
Eastern Illinois,2022,2
Eastern Kentucky,2017,2
Eastern Kentucky,2018,2
Eastern Kentucky,2019,1
Eastern Kentucky,2020,1
Eastern Kentucky,2021,1
Eastern Kentucky,2022,0
Eastern Michigan,2017,1
Eastern Michigan,2018,1
Eastern Michigan,2019,1
Eastern Michigan,2020,2
Eastern Michigan,2021,2
Eastern Michigan,2022,2
Eastern Washington,2018,0
Eastern Washington,2019,0
Eastern Washington,2020,0
Eastern Washington,2021,0
Eastern Washington,2022,0
Elon,2017,0
Elon,2018,0
Elon,2019,0
Elon,2020,2
Elon,2021,2
Elon,2022,2
Evansville,2017,1
Evansville,2018,2
Evansville,2019,2
Evansville,2020,2
Evansville,2021,2
Evansville,2022,2
Fairfield,2017,0
Fairfield,2018,0
Fairfield,2019,2
Fairfield,2020,2
Fairfield,2021,2
Fairfield,2022,2
Fairleigh Dickinson,2017,1
Fairleigh Dickinson,2018,1
Fairleigh Dickinson,2019,0
Fairleigh Dickinson,2020,1
Fairleigh Dickinson,2021,1
Fairleigh Dickinson,2022,2
Florida,2017,1
Florida,2018,1
Florida,2019,2
Florida,2020,0
Florida,2021,1
Florida,2022,2
Florida A&M,2017,1
Florida A&M,2018,2
Florida A&M,2019,2
Florida A&M,2020,2
Florida A&M,2021,2
Florida A&M,2022,2
Florida Atlantic,2017,2
Florida Atlantic,2018,1
Florida Atlantic,2019,2
Florida Atlantic,2020,2
Florida Atlantic,2021,0
Florida Atlantic,2022,0
Florida Gulf Coast,2017,0
Florida Gulf Coast,2018,0
Florida Gulf Coast,2019,0
Florida Gulf Coast,2020,2
Florida Gulf Coast,2021,1
Florida Gulf Coast,2022,0
Florida International,2017,2
Florida International,2018,1
Florida International,2019,1
Florida International,2020,1
Florida International,2021,0
Florida International,2022,0
Florida State,2017,1
Florida State,2018,1
Florida State,2019,1
Florida State,2020,1
Florida State,2021,1
Florida State,2022,1
Fordham,2017,2
Fordham,2018,2
Fordham,2019,2
Fordham,2020,2
Fordham,2021,2
Fordham,2022,2
Fresno State,2017,1
Fresno State,2018,0
Fresno State,2019,0
Fresno State,2020,2
Fresno State,2021,2
Fresno State,2022,2
Furman,2017,0
Furman,2018,0
Furman,2019,0
Furman,2020,0
Furman,2021,0
Furman,2022,0
Gardner-Webb,2017,1
Gardner-Webb,2018,2
Gardner-Webb,2019,0
Gardner-Webb,2020,0
Gardner-Webb,2021,0
Gardner-Webb,2022,1
George Mason,2017,1
George Mason,2018,1
George Mason,2019,2
George Mason,2020,2
George Mason,2021,1
George Mason,2022,0
George Washington,2017,2
George Washington,2018,2
George Washington,2019,2
George Washington,2020,2
George Washington,2021,2
George Washington,2022,2
Georgetown,2017,1
Georgetown,2018,1
Georgetown,2019,1
Georgetown,2020,1
Georgetown,2021,2
Georgetown,2022,2
Georgia,2017,1
Georgia,2018,2
Georgia,2019,1
Georgia,2020,1
Georgia,2021,1
Georgia,2022,2
Georgia Southern,2017,0
Georgia Southern,2018,1
Georgia Southern,2019,1
Georgia Southern,2020,1
Georgia Southern,2021,1
Georgia Southern,2022,2
Georgia State,2017,1
Georgia State,2018,0
Georgia State,2019,0
Georgia State,2020,1
Georgia State,2021,1
Georgia State,2022,1
Georgia Tech,2017,1
Georgia Tech,2018,2
Georgia Tech,2019,2
Georgia Tech,2020,1
Georgia Tech,2021,0
Georgia Tech,2022,2
Gonzaga,2017,0
Gonzaga,2018,0
Gonzaga,2019,0
Gonzaga,2020,0
Gonzaga,2021,0
Gonzaga,2022,0
Grambling,2017,1
Grambling,2018,1
Grambling,2019,1
Grambling,2020,1
Grambling,2021,2
Grambling,2022,2
Grand Canyon,2017,1
Grand Canyon,2018,1
Grand Canyon,2019,0
Grand Canyon,2020,2
Grand Canyon,2021,0
Grand Canyon,2022,1
Green Bay,2017,1
Green Bay,2018,1
Green Bay,2019,1
Green Bay,2020,1
Green Bay,2021,1
Green Bay,2022,2
Hampton,2017,2
Hampton,2018,1
Hampton,2019,1
Hampton,2020,1
Hampton,2021,2
Hampton,2022,2
Hartford,2017,2
Hartford,2018,0
Hartford,2019,0
Hartford,2020,2
Hartford,2021,2
Hartford,2022,0
Harvard,2017,0
Harvard,2018,2
Harvard,2019,0
Harvard,2020,1
Harvard,2022,2
Hawai'i,2017,2
Hawai'i,2018,2
Hawai'i,2019,0
Hawai'i,2020,2
Hawai'i,2021,2
Hawai'i,2022,2
High Point,2017,2
High Point,2018,1
High Point,2019,2
High Point,2020,2
High Point,2021,2
High Point,2022,1
Hofstra,2017,0
Hofstra,2018,0
Hofstra,2019,0
Hofstra,2020,0
Hofstra,2021,1
Hofstra,2022,0
Holy Cross,2017,2
Holy Cross,2018,2
Holy Cross,2019,0
Holy Cross,2020,2
Holy Cross,2021,1
Holy Cross,2022,2
Houston,2017,0
Houston,2018,0
Houston,2019,0
Houston,2020,1
Houston,2021,1
Houston,2022,0
Houston Christian,2017,1
Houston Christian,2018,1
Houston Christian,2019,1
Houston Christian,2020,1
Houston Christian,2021,2
Houston Christian,2022,1
Howard,2017,2
Howard,2018,1
Howard,2019,1
Howard,2020,2
Howard,2022,1
IUPUI,2017,0
IUPUI,2018,2
IUPUI,2019,1
IUPUI,2020,2
IUPUI,2021,2
IUPUI,2022,2
Idaho,2017,1
Idaho,2018,0
Idaho,2019,2
Idaho,2020,2
Idaho,2021,2
Idaho,2022,2
Idaho State,2017,2
Idaho State,2018,0
Idaho State,2019,0
Idaho State,2020,2
Idaho State,2021,2
Idaho State,2022,2
Illinois,2017,0
Illinois,2018,1
Illinois,2019,1
Illinois,2020,1
Illinois,2021,0
Illinois,2022,0
Illinois State,2017,0
Illinois State,2018,0
Illinois State,2019,2
Illinois State,2020,2
Illinois State,2021,0
Illinois State,2022,1
Incarnate Word,2017,1
Incarnate Word,2018,2
Incarnate Word,2019,2
Incarnate Word,2020,2
Incarnate Word,2021,2
Incarnate Word,2022,2
Indiana,2017,0
Indiana,2018,1
Indiana,2019,1
Indiana,2020,1
Indiana,2021,1
Indiana,2022,1
Indiana State,2017,2
Indiana State,2018,2
Indiana State,2019,2
Indiana State,2020,2
Indiana State,2021,2
Indiana State,2022,0
Iona,2017,0
Iona,2018,0
Iona,2019,0
Iona,2020,2
Iona,2021,1
Iona,2022,1
Iowa,2017,1
Iowa,2018,0
Iowa,2019,0
Iowa,2020,1
Iowa,2021,0
Iowa,2022,0
Iowa State,2017,0
Iowa State,2018,1
Iowa State,2019,0
Iowa State,2020,1
Iowa State,2021,2
Iowa State,2022,2
Jackson State,2017,2
Jackson State,2018,2
Jackson State,2019,2
Jackson State,2020,2
Jackson State,2021,2
Jackson State,2022,2
Jacksonville,2017,0
Jacksonville,2018,1
Jacksonville,2019,1
Jacksonville,2020,2
Jacksonville,2021,2
Jacksonville,2022,2
Jacksonville State,2017,0
Jacksonville State,2018,1
Jacksonville State,2019,1
Jacksonville State,2020,1
Jacksonville State,2021,0
Jacksonville State,2022,0
James Madison,2017,2
James Madison,2018,1
James Madison,2019,2
James Madison,2020,2
James Madison,2021,1
James Madison,2022,1
Kansas,2017,0
Kansas,2018,0
Kansas,2019,1
Kansas,2020,1
Kansas,2021,1
Kansas,2022,1
Kansas City,2017,1
Kansas City,2018,2
Kansas City,2019,2
Kansas City,2020,0
Kansas City,2021,0
Kansas City,2022,0
Kansas State,2017,0
Kansas State,2018,0
Kansas State,2019,2
Kansas State,2020,2
Kansas State,2021,2
Kansas State,2022,2
Kennesaw State,2017,1
Kennesaw State,2018,1
Kennesaw State,2019,2
Kennesaw State,2020,2
Kennesaw State,2021,2
Kennesaw State,2022,0
Kent State,2017,1
Kent State,2018,1
Kent State,2019,1
Kent State,2020,0
Kent State,2021,1
Kent State,2022,0
Kentucky,2017,1
Kentucky,2018,1
Kentucky,2019,1
Kentucky,2020,1
Kentucky,2021,1
Kentucky,2022,1
LSU,2017,1
LSU,2018,0
LSU,2019,1
LSU,2020,1
LSU,2021,1
LSU,2022,1
La Salle,2017,0
La Salle,2018,1
La Salle,2019,2
La Salle,2020,2
La Salle,2021,2
La Salle,2022,2
Lafayette,2017,2
Lafayette,2018,0
Lafayette,2019,0
Lafayette,2020,0
Lafayette,2021,0
Lafayette,2022,0
Lamar,2017,1
Lamar,2018,1
Lamar,2019,1
Lamar,2020,1
Lamar,2021,2
Lamar,2022,2
Lehigh,2017,0
Lehigh,2018,0
Lehigh,2019,0
Lehigh,2020,2
Lehigh,2021,2
Lehigh,2022,0
Liberty,2017,2
Liberty,2018,0
Liberty,2019,0
Liberty,2020,0
Liberty,2021,0
Liberty,2022,0
Lipscomb,2017,0
Lipscomb,2018,1
Lipscomb,2019,0
Lipscomb,2020,1
Lipscomb,2021,0
Lipscomb,2022,0
Little Rock,2017,2
Little Rock,2018,2
Little Rock,2019,0
Little Rock,2020,1
Little Rock,2021,2
Little Rock,2022,2
Long Beach State,2017,1
Long Beach State,2018,1
Long Beach State,2019,1
Long Beach State,2020,2
Long Beach State,2021,1
Long Beach State,2022,1
Long Island University,2017,1
Long Island University,2018,1
Long Island University,2019,1
Long Island University,2020,0
Long Island University,2021,1
Long Island University,2022,1
Longwood,2017,2
Longwood,2018,2
Longwood,2019,2
Longwood,2020,2
Longwood,2021,2
Longwood,2022,0
Louisiana,2017,1
Louisiana,2018,1
Louisiana,2019,1
Louisiana,2020,2
Louisiana,2021,1
Louisiana,2022,1
Louisiana Tech,2017,0
Louisiana Tech,2018,0
Louisiana Tech,2019,1
Louisiana Tech,2020,0
Louisiana Tech,2021,1
Louisiana Tech,2022,0
Louisville,2017,1
Louisville,2018,1
Louisville,2019,0
Louisville,2020,0
Louisville,2021,2
Louisville,2022,2
Loyola Chicago,2017,0
Loyola Chicago,2018,0
Loyola Chicago,2019,0
Loyola Chicago,2020,0
Loyola Chicago,2021,0
Loyola Chicago,2022,0
Loyola Maryland,2017,2
Loyola Maryland,2018,1
Loyola Maryland,2019,1
Loyola Maryland,2020,1
Loyola Maryland,2021,1
Loyola Maryland,2022,2
Loyola Marymount,2017,1
Loyola Marymount,2018,1
Loyola Marymount,2019,2
Loyola Marymount,2020,2
Loyola Marymount,2021,2
Loyola Marymount,2022,2
Maine,2017,2
Maine,2018,2
Maine,2019,2
Maine,2020,2
Maine,2022,2
Manhattan,2017,2
Manhattan,2018,2
Manhattan,2019,2
Manhattan,2020,2
Manhattan,2021,2
Manhattan,2022,2
Marist,2017,2
Marist,2018,0
Marist,2019,2
Marist,2020,2
Marist,2021,2
Marist,2022,2
Marquette,2017,0
Marquette,2018,0
Marquette,2019,0
Marquette,2020,0
Marquette,2021,2
Marquette,2022,0
Marshall,2017,0
Marshall,2018,0
Marshall,2019,1
Marshall,2020,1
Marshall,2021,0
Marshall,2022,1
Maryland,2017,0
Maryland,2018,0
Maryland,2019,0
Maryland,2020,2
Maryland,2021,0
Maryland,2022,2
Maryland-Eastern Shore,2017,2
Maryland-Eastern Shore,2018,2
Maryland-Eastern Shore,2019,2
Maryland-Eastern Shore,2020,2
Maryland-Eastern Shore,2022,2
McNeese,2017,2
McNeese,2018,1
McNeese,2019,2
McNeese,2020,0
McNeese,2021,0
McNeese,2022,1
Memphis,2017,1
Memphis,2018,1
Memphis,2019,1
Memphis,2020,1
Memphis,2021,1
Memphis,2022,1
Mercer,2017,0
Mercer,2018,0
Mercer,2019,1
Mercer,2020,0
Mercer,2021,0
Mercer,2022,0
Merrimack,2020,2
Merrimack,2021,2
Merrimack,2022,2
Miami,2017,2
Miami,2018,0
Miami,2019,0
Miami,2020,2
Miami,2021,2
Miami,2022,0
Miami (OH),2017,2
Miami (OH),2018,0
Miami (OH),2019,2
Miami (OH),2020,2
Miami (OH),2021,0
Miami (OH),2022,0
Michigan,2017,0
Michigan,2018,0
Michigan,2019,0
Michigan,2020,0
Michigan,2021,0
Michigan,2022,0
Michigan State,2017,0
Michigan State,2018,0
Michigan State,2019,0
Michigan State,2020,0
Michigan State,2021,1
Michigan State,2022,0
Middle Tennessee,2017,0
Middle Tennessee,2018,0
Middle Tennessee,2019,2
Middle Tennessee,2020,2
Middle Tennessee,2021,2
Middle Tennessee,2022,0
Milwaukee,2017,2
Milwaukee,2018,2
Milwaukee,2019,2
Milwaukee,2020,2
Milwaukee,2021,1
Milwaukee,2022,2
Minnesota,2017,1
Minnesota,2018,1
Minnesota,2019,1
Minnesota,2020,0
Minnesota,2021,1
Minnesota,2022,2
Mississippi State,2017,1
Mississippi State,2018,1
Mississippi State,2019,0
Mississippi State,2020,1
Mississippi State,2021,1
Mississippi State,2022,1
Mississippi Valley State,2017,1
Mississippi Valley State,2018,2
Mississippi Valley State,2019,2
Mississippi Valley State,2020,2
Mississippi Valley State,2021,2
Mississippi Valley State,2022,2
Missouri,2017,2
Missouri,2018,0
Missouri,2019,2
Missouri,2020,2
Missouri,2021,1
Missouri,2022,2
Missouri State,2017,0
Missouri State,2018,1
Missouri State,2019,2
Missouri State,2020,2
Missouri State,2021,0
Missouri State,2022,0
Monmouth,2017,1
Monmouth,2018,1
Monmouth,2019,2
Monmouth,2020,2
Monmouth,2021,1
Monmouth,2022,2
Montana,2017,0
Montana,2018,1
Montana,2019,0
Montana,2020,0
Montana,2021,1
Montana,2022,0
Montana State,2017,0
Montana State,2018,1
Montana State,2019,0
Montana State,2020,2
Montana State,2021,1
Montana State,2022,0
Morehead State,2017,1
Morehead State,2018,2
Morehead State,2019,1
Morehead State,2020,1
Morehead State,2021,0
