team_location,season,Cluster
Morehead State,2022,0
Morgan State,2017,2
Morgan State,2018,1
Morgan State,2019,1
Morgan State,2020,1
Morgan State,2021,1
Morgan State,2022,1
Mount St. Mary's,2017,2
Mount St. Mary's,2018,0
Mount St. Mary's,2019,2
Mount St. Mary's,2020,2
Mount St. Mary's,2021,2
Mount St. Mary's,2022,2
Murray State,2017,1
Murray State,2018,0
Murray State,2019,0
Murray State,2020,1
Murray State,2021,0
Murray State,2022,0
NC State,2017,1
NC State,2018,1
NC State,2019,1
NC State,2020,1
NC State,2021,1
NC State,2022,1
NJIT,2017,2
NJIT,2018,1
NJIT,2019,2
NJIT,2020,2
NJIT,2021,2
NJIT,2022,2
Navy,2017,2
Navy,2018,2
Navy,2019,2
Navy,2020,2
Navy,2021,1
Navy,2022,2
Nebraska,2017,1
Nebraska,2018,1
Nebraska,2019,1
Nebraska,2020,2
Nebraska,2021,2
Nebraska,2022,1
Nevada,2017,0
Nevada,2018,0
Nevada,2019,0
Nevada,2020,0
Nevada,2021,0
Nevada,2022,1
New Hampshire,2017,0
New Hampshire,2018,2
New Hampshire,2019,2
New Hampshire,2020,2
New Hampshire,2021,2
New Hampshire,2022,0
New Mexico,2017,1
New Mexico,2018,0
New Mexico,2019,1
New Mexico,2020,1
New Mexico,2021,2
New Mexico,2022,1
New Mexico State,2017,1
New Mexico State,2018,1
New Mexico State,2019,0
New Mexico State,2020,0
New Mexico State,2021,2
New Mexico State,2022,0
New Orleans,2017,1
New Orleans,2018,1
New Orleans,2019,1
New Orleans,2020,1
New Orleans,2021,1
New Orleans,2022,1
Niagara,2017,1
Niagara,2018,1
Niagara,2019,2
Niagara,2020,2
Niagara,2021,2
Niagara,2022,2
Nicholls,2017,1
Nicholls,2018,1
Nicholls,2019,0
Nicholls,2020,1
Nicholls,2021,1
Nicholls,2022,1
Norfolk State,2017,2
Norfolk State,2018,1
Norfolk State,2019,1
Norfolk State,2020,2
Norfolk State,2021,1
Norfolk State,2022,1
North Alabama,2019,2
North Alabama,2020,2
North Alabama,2021,1
North Alabama,2022,2
North Carolina,2017,1
North Carolina,2018,1
North Carolina,2019,1
North Carolina,2020,1
North Carolina,2021,1
North Carolina,2022,0
North Carolina A&T,2017,2
North Carolina A&T,2018,1
North Carolina A&T,2019,0
North Carolina A&T,2020,1
North Carolina A&T,2021,1
North Carolina A&T,2022,2
North Carolina Central,2017,1
North Carolina Central,2018,1
North Carolina Central,2019,1
North Carolina Central,2020,1
North Carolina Central,2021,2
North Carolina Central,2022,1
North Dakota,2017,1
North Dakota,2018,1
North Dakota,2019,0
North Dakota,2020,0
North Dakota,2021,2
North Dakota,2022,2
North Dakota State,2017,0
North Dakota State,2018,0
North Dakota State,2019,0
North Dakota State,2020,0
North Dakota State,2021,2
North Dakota State,2022,0
North Florida,2017,1
North Florida,2018,0
North Florida,2019,0
North Florida,2020,0
North Florida,2021,0
North Florida,2022,2
North Texas,2017,2
North Texas,2018,1
North Texas,2019,0
North Texas,2020,0
North Texas,2021,0
North Texas,2022,2
Northeastern,2017,0
Northeastern,2018,0
Northeastern,2019,0
Northeastern,2020,0
Northeastern,2021,2
Northeastern,2022,2
Northern Arizona,2017,2
Northern Arizona,2018,2
Northern Arizona,2019,2
Northern Arizona,2020,0
Northern Arizona,2021,2
Northern Arizona,2022,2
Northern Colorado,2017,0
Northern Colorado,2018,0
Northern Colorado,2019,0
Northern Colorado,2020,0
Northern Colorado,2021,0
Northern Colorado,2022,0
Northern Illinois,2017,1
Northern Illinois,2018,1
Northern Illinois,2019,0
Northern Illinois,2020,2
Northern Illinois,2021,2
Northern Illinois,2022,2
Northern Iowa,2017,2
Northern Iowa,2018,2
Northern Iowa,2019,2
Northern Iowa,2020,0
Northern Iowa,2021,2
Northern Iowa,2022,0
Northern Kentucky,2017,0
Northern Kentucky,2018,0
Northern Kentucky,2019,0
Northern Kentucky,2020,0
Northern Kentucky,2021,2
Northern Kentucky,2022,2
Northwestern,2017,1
Northwestern,2018,2
Northwestern,2019,2
Northwestern,2020,2
Northwestern,2021,0
Northwestern,2022,0
Northwestern State,2017,1
Northwestern State,2018,2
Northwestern State,2019,2
Northwestern State,2020,1
Northwestern State,2021,1
Northwestern State,2022,1
Notre Dame,2017,0
Notre Dame,2018,0
Notre Dame,2019,2
Notre Dame,2020,0
Notre Dame,2021,0
Notre Dame,2022,0
Oakland,2017,1
Oakland,2018,0
Oakland,2019,0
Oakland,2020,2
Oakland,2021,1
Oakland,2022,1
Ohio,2017,0
Ohio,2018,1
Ohio,2019,1
Ohio,2020,0
Ohio,2021,0
Ohio,2022,0
Ohio State,2017,1
Ohio State,2018,0
Ohio State,2019,2
Ohio State,2020,0
Ohio State,2021,0
Ohio State,2022,0
Oklahoma,2017,1
Oklahoma,2018,1
Oklahoma,2019,1
Oklahoma,2020,2
Oklahoma,2021,1
Oklahoma,2022,0
Oklahoma State,2017,1
Oklahoma State,2018,1
Oklahoma State,2019,2
Oklahoma State,2020,2
Oklahoma State,2021,1
Oklahoma State,2022,1
Old Dominion,2017,2
Old Dominion,2018,1
Old Dominion,2019,2
Old Dominion,2020,2
Old Dominion,2021,1
Old Dominion,2022,2
Ole Miss,2017,1
Ole Miss,2018,1
Ole Miss,2019,0
Ole Miss,2020,2
Ole Miss,2021,1
Ole Miss,2022,2
Omaha,2017,1
Omaha,2018,0
Omaha,2019,0
Omaha,2020,1
Omaha,2021,2
Omaha,2022,2
Oral Roberts,2017,1
Oral Roberts,2018,1
Oral Roberts,2019,0
Oral Roberts,2020,1
Oral Roberts,2021,0
Oral Roberts,2022,0
Oregon,2017,0
Oregon,2018,0
Oregon,2019,0
Oregon,2020,0
Oregon,2021,0
Oregon,2022,1
Oregon State,2017,2
Oregon State,2018,1
Oregon State,2019,1
Oregon State,2020,1
Oregon State,2021,2
Oregon State,2022,2
Pacific,2017,2
Pacific,2018,1
Pacific,2019,2
Pacific,2020,1
Pacific,2021,1
Pacific,2022,2
Penn State,2017,1
Penn State,2018,1
Penn State,2019,2
Penn State,2020,1
Penn State,2021,2
Penn State,2022,2
Pennsylvania,2017,0
Pennsylvania,2018,0
Pennsylvania,2019,0
Pennsylvania,2020,0
Pennsylvania,2022,0
Pepperdine,2017,2
Pepperdine,2018,1
Pepperdine,2019,0
Pepperdine,2020,1
Pepperdine,2021,1
Pepperdine,2022,2
Pittsburgh,2017,0
Pittsburgh,2018,2
Pittsburgh,2019,2
Pittsburgh,2020,2
Pittsburgh,2021,1
Pittsburgh,2022,2
Portland,2017,2
Portland,2018,2
Portland,2019,2
Portland,2020,2
Portland,2021,2
Portland,2022,0
Portland State,2017,1
Portland State,2018,1
Portland State,2019,1
Portland State,2020,1
Portland State,2021,2
Portland State,2022,1
Prairie View A&M,2017,2
Prairie View A&M,2018,1
Prairie View A&M,2019,1
Prairie View A&M,2020,1
Prairie View A&M,2021,1
Prairie View A&M,2022,2
Presbyterian,2017,2
Presbyterian,2018,2
Presbyterian,2019,0
Presbyterian,2020,2
Presbyterian,2021,2
Presbyterian,2022,2
Princeton,2017,0
Princeton,2018,0
Princeton,2019,2
Princeton,2020,0
Princeton,2022,0
Providence,2017,0
Providence,2018,1
Providence,2019,1
Providence,2020,1
Providence,2021,1
Providence,2022,1
Purdue,2017,0
Purdue,2018,0
Purdue,2019,0
Purdue,2020,2
Purdue,2021,0
Purdue,2022,0
Purdue Fort Wayne,2017,0
Purdue Fort Wayne,2018,0
Purdue Fort Wayne,2019,0
Purdue Fort Wayne,2020,2
Purdue Fort Wayne,2021,0
Purdue Fort Wayne,2022,0
Quinnipiac,2017,1
Quinnipiac,2018,2
Quinnipiac,2019,0
Quinnipiac,2020,2
Quinnipiac,2021,2
Quinnipiac,2022,0
Radford,2017,2
Radford,2018,2
Radford,2019,0
Radford,2020,0
Radford,2021,2
Radford,2022,2
Rhode Island,2017,1
Rhode Island,2018,1
Rhode Island,2019,1
Rhode Island,2020,1
Rhode Island,2021,1
Rhode Island,2022,1
Rice,2017,0
Rice,2018,2
Rice,2019,1
Rice,2020,0
Rice,2021,0
Rice,2022,0
Richmond,2017,0
Richmond,2018,0
Richmond,2019,0
Richmond,2020,0
Richmond,2021,0
Richmond,2022,0
Rider,2017,1
Rider,2018,1
Rider,2019,1
Rider,2020,1
Rider,2021,2
Rider,2022,2
Robert Morris,2017,2
Robert Morris,2018,2
Robert Morris,2019,2
Robert Morris,2020,0
Robert Morris,2021,1
Robert Morris,2022,2
Rutgers,2017,2
Rutgers,2018,2
Rutgers,2019,2
Rutgers,2020,1
Rutgers,2021,1
Rutgers,2022,1
SE Louisiana,2017,1
SE Louisiana,2018,0
SE Louisiana,2019,2
SE Louisiana,2020,2
SE Louisiana,2021,2
SE Louisiana,2022,0
SIU Edwardsville,2017,2
SIU Edwardsville,2018,2
SIU Edwardsville,2019,1
SIU Edwardsville,2020,2
SIU Edwardsville,2021,2
SIU Edwardsville,2022,2
SMU,2017,0
SMU,2018,0
SMU,2019,0
SMU,2020,0
SMU,2021,1
SMU,2022,0
Sacramento State,2017,1
Sacramento State,2018,2
Sacramento State,2019,1
Sacramento State,2020,2
Sacramento State,2021,0
Sacramento State,2022,2
Sacred Heart,2017,1
Sacred Heart,2018,2
Sacred Heart,2019,1
Sacred Heart,2020,1
Sacred Heart,2021,2
Sacred Heart,2022,0
Saint Joseph's,2017,2
Saint Joseph's,2018,1
Saint Joseph's,2019,2
Saint Joseph's,2020,2
Saint Joseph's,2021,2
Saint Joseph's,2022,2
Saint Louis,2017,2
Saint Louis,2018,2
Saint Louis,2019,2
Saint Louis,2020,1
Saint Louis,2021,1
Saint Louis,2022,1
Saint Mary's,2017,0
Saint Mary's,2018,0
Saint Mary's,2019,0
Saint Mary's,2020,0
Saint Mary's,2021,2
Saint Mary's,2022,0
Saint Peter's,2017,2
Saint Peter's,2018,2
Saint Peter's,2019,2
Saint Peter's,2020,2
Saint Peter's,2021,2
Saint Peter's,2022,2
Sam Houston,2017,1
Sam Houston,2018,1
Sam Houston,2019,0
Sam Houston,2020,1
Sam Houston,2021,1
Sam Houston,2022,2
Samford,2017,0
Samford,2018,0
Samford,2019,1
Samford,2020,1
Samford,2021,1
Samford,2022,0
San Diego,2017,2
San Diego,2018,0
San Diego,2019,0
San Diego,2020,2
San Diego,2021,2
San Diego,2022,2
San Diego State,2017,2
San Diego State,2018,1
San Diego State,2019,1
San Diego State,2020,0
San Diego State,2021,0
San Diego State,2022,2
San Francisco,2017,0
San Francisco,2018,2
San Francisco,2019,0
San Francisco,2020,0
San Francisco,2021,0
San Francisco,2022,0
San José State,2017,1
San José State,2018,2
San José State,2019,2
San José State,2020,2
San José State,2021,2
San José State,2022,2
Santa Clara,2017,0
Santa Clara,2018,2
Santa Clara,2019,2
Santa Clara,2020,0
Santa Clara,2021,2
Santa Clara,2022,0
Savannah State,2017,0
Savannah State,2018,1
Savannah State,2019,0
Seattle U,2017,0
Seattle U,2018,0
Seattle U,2019,1
Seattle U,2020,1
Seattle U,2021,2
Seattle U,2022,0
Seton Hall,2017,1
Seton Hall,2018,1
Seton Hall,2019,1
Seton Hall,2020,1
Seton Hall,2021,1
Seton Hall,2022,1
Siena,2017,1
Siena,2018,2
Siena,2019,2
Siena,2020,1
Siena,2021,2
Siena,2022,2
South Alabama,2017,1
South Alabama,2018,2
South Alabama,2019,0
South Alabama,2020,1
South Alabama,2021,0
South Alabama,2022,1
South Carolina,2017,1
South Carolina,2018,2
South Carolina,2019,1
South Carolina,2020,1
South Carolina,2021,1
South Carolina,2022,1
South Carolina State,2017,2
South Carolina State,2018,1
South Carolina State,2019,2
South Carolina State,2020,2
South Carolina State,2021,2
South Carolina State,2022,1
South Carolina Upstate,2017,0
South Carolina Upstate,2018,0
South Carolina Upstate,2019,2
South Carolina Upstate,2020,2
South Carolina Upstate,2021,2
South Carolina Upstate,2022,0
South Dakota,2017,1
South Dakota,2018,1
South Dakota,2019,2
South Dakota,2020,0
South Dakota,2021,0
South Dakota,2022,0
South Dakota State,2017,0
South Dakota State,2018,0
South Dakota State,2019,0
South Dakota State,2020,0
South Dakota State,2021,0
South Dakota State,2022,0
South Florida,2017,2
South Florida,2018,2
South Florida,2019,1
South Florida,2020,2
South Florida,2021,2
South Florida,2022,2
Southeast Missouri State,2017,0
Southeast Missouri State,2018,0
Southeast Missouri State,2019,2
Southeast Missouri State,2020,2
Southeast Missouri State,2021,2
Southeast Missouri State,2022,0
Southern,2017,1
Southern,2018,2
Southern,2019,2
Southern,2020,1
Southern,2021,1
Southern,2022,1
Southern Illinois,2017,2
Southern Illinois,2018,0
Southern Illinois,2019,0
Southern Illinois,2020,2
Southern Illinois,2021,2
Southern Illinois,2022,2
Southern Miss,2017,2
Southern Miss,2018,0
Southern Miss,2019,0
Southern Miss,2020,2
Southern Miss,2021,2
Southern Miss,2022,2
Southern Utah,2017,1
Southern Utah,2018,1
Southern Utah,2019,1
Southern Utah,2020,1
Southern Utah,2021,0
Southern Utah,2022,0
St. Bonaventure,2017,1
St. Bonaventure,2018,1
St. Bonaventure,2019,2
St. Bonaventure,2020,2
St. Bonaventure,2021,1
St. Bonaventure,2022,1
St. Francis (PA),2017,0
St. Francis (PA),2018,0
St. Francis (PA),2019,1
St. Francis (PA),2020,1
St. Francis (PA),2021,2
St. Francis (PA),2022,2
St. Francis Brooklyn,2017,2
St. Francis Brooklyn,2018,2
St. Francis Brooklyn,2019,2
St. Francis Brooklyn,2020,1
St. Francis Brooklyn,2021,1
St. Francis Brooklyn,2022,2
St. John's,2017,1
St. John's,2018,1
St. John's,2019,0
St. John's,2020,1
St. John's,2021,1
St. John's,2022,1
St. Thomas - Minnesota,2022,0
Stanford,2017,1
Stanford,2018,1
Stanford,2019,1
Stanford,2020,0
Stanford,2021,1
Stanford,2022,2
Stephen F. Austin,2017,2
Stephen F. Austin,2018,1
Stephen F. Austin,2019,2
Stephen F. Austin,2020,1
Stephen F. Austin,2021,1
Stephen F. Austin,2022,1
Stetson,2017,1
Stetson,2018,1
Stetson,2019,2
Stetson,2020,2
Stetson,2021,0
Stetson,2022,2
Stony Brook,2017,2
Stony Brook,2018,2
Stony Brook,2019,1
Stony Brook,2020,2
Stony Brook,2021,2
Stony Brook,2022,0
Syracuse,2017,0
Syracuse,2018,2
Syracuse,2019,2
Syracuse,2020,1
Syracuse,2021,0
Syracuse,2022,0
TCU,2017,1
TCU,2018,0
TCU,2019,1
TCU,2020,2
TCU,2021,2
TCU,2022,1
Tarleton,2021,1
Tarleton,2022,2
Temple,2017,0
Temple,2018,2
Temple,2019,1
Temple,2020,2
Temple,2021,2
Temple,2022,2
Tennessee,2017,1
Tennessee,2018,1
Tennessee,2019,0
Tennessee,2020,2
Tennessee,2021,1
Tennessee,2022,1
Tennessee State,2017,1
Tennessee State,2018,2
Tennessee State,2019,2
Tennessee State,2020,0
Tennessee State,2021,2
Tennessee State,2022,1
Tennessee Tech,2017,1
Tennessee Tech,2018,1
Tennessee Tech,2019,2
Tennessee Tech,2020,2
Tennessee Tech,2021,2
Tennessee Tech,2022,1
Texas,2017,2
Texas,2018,1
Texas,2019,0
Texas,2020,2
Texas,2021,0
Texas,2022,2
Texas A&M,2017,1
Texas A&M,2018,1
Texas A&M,2019,1
Texas A&M,2020,2
Texas A&M,2021,2
Texas A&M,2022,1
Texas A&M-Corpus Christi,2017,1
Texas A&M-Corpus Christi,2018,2
Texas A&M-Corpus Christi,2019,2
Texas A&M-Corpus Christi,2020,2
Texas A&M-Corpus Christi,2021,2
Texas A&M-Corpus Christi,2022,1
Texas Southern,2017,1
Texas Southern,2018,1
Texas Southern,2019,1
Texas Southern,2020,1
Texas Southern,2021,1
Texas Southern,2022,1
Texas State,2017,2
Texas State,2018,2
Texas State,2019,1
Texas State,2020,1
Texas State,2021,2
Texas State,2022,1
Texas Tech,2017,0
Texas Tech,2018,1
Texas Tech,2019,0
Texas Tech,2020,0
Texas Tech,2021,1
Texas Tech,2022,1
The Citadel,2017,1
The Citadel,2018,1
The Citadel,2019,0
The Citadel,2020,0
The Citadel,2021,0
The Citadel,2022,0
Toledo,2017,0
Toledo,2018,0
Toledo,2019,0
Toledo,2020,0
Toledo,2021,0
Toledo,2022,0
Towson,2017,1
Towson,2018,1
Towson,2019,2
Towson,2020,2
Towson,2021,2
Towson,2022,0
Troy,2017,0
Troy,2018,0
Troy,2019,0
Troy,2020,2
Troy,2021,2
Troy,2022,2
Tulane,2017,2
Tulane,2018,1
Tulane,2019,2
Tulane,2020,2
Tulane,2021,2
Tulane,2022,0
Tulsa,2017,2
Tulsa,2018,2
Tulsa,2019,0
Tulsa,2020,2
Tulsa,2021,2
Tulsa,2022,2
UAB,2017,1
UAB,2018,0
UAB,2019,1
UAB,2020,2
UAB,2021,1
UAB,2022,1
UC Davis,2017,2
UC Davis,2018,1
UC Davis,2019,2
UC Davis,2020,0
UC Davis,2021,1
UC Davis,2022,2
UC Irvine,2017,1
UC Irvine,2018,1
UC Irvine,2019,1
UC Irvine,2020,1
UC Irvine,2021,1
UC Irvine,2022,2
UC Riverside,2017,2
UC Riverside,2018,2
UC Riverside,2019,2
UC Riverside,2020,2
UC Riverside,2021,0
UC Riverside,2022,2
UC San Diego,2021,0
UC San Diego,2022,0
UC Santa Barbara,2017,2
UC Santa Barbara,2018,0
UC Santa Barbara,2019,1
UC Santa Barbara,2020,0
UC Santa Barbara,2021,0
UC Santa Barbara,2022,0
UCF,2017,2
UCF,2018,2
UCF,2019,0
UCF,2020,2
UCF,2021,2
UCF,2022,2
UCLA,2017,0
UCLA,2018,0
UCLA,2019,1
UCLA,2020,2
UCLA,2021,0
UCLA,2022,1
UConn,2017,2
UConn,2018,2
UConn,2019,1
UConn,2020,1
UConn,2021,1
UConn,2022,1
UIC,2017,1
UIC,2018,1
UIC,2019,0
UIC,2020,2
UIC,2021,2
UIC,2022,0
UL Monroe,2017,2
UL Monroe,2018,0
UL Monroe,2019,0
UL Monroe,2020,2
UL Monroe,2021,2
UL Monroe,2022,1
UMBC,2017,0
UMBC,2018,0
UMBC,2019,2
UMBC,2020,2
UMBC,2021,2
UMBC,2022,0
UMass,2017,1
UMass,2018,0
UMass,2019,0
UMass,2020,2
UMass,2021,1
UMass,2022,0
UMass Lowell,2017,0
UMass Lowell,2018,1
UMass Lowell,2019,0
UMass Lowell,2020,1
UMass Lowell,2021,2
UMass Lowell,2022,1
UNC Asheville,2017,0
UNC Asheville,2018,0
UNC Asheville,2019,2
UNC Asheville,2020,0
UNC Asheville,2021,0
UNC Asheville,2022,0
UNC Greensboro,2017,0
UNC Greensboro,2018,0
UNC Greensboro,2019,1
UNC Greensboro,2020,1
UNC Greensboro,2021,1
UNC Greensboro,2022,2
UNC Wilmington,2017,0
UNC Wilmington,2018,1
UNC Wilmington,2019,1
UNC Wilmington,2020,2
UNC Wilmington,2021,1
UNC Wilmington,2022,1
UNLV,2017,2
UNLV,2018,1
UNLV,2019,1
UNLV,2020,1
UNLV,2021,0
UNLV,2022,2
USC,2017,1
USC,2018,0
USC,2019,0
USC,2020,1
USC,2021,1
USC,2022,1
UT Arlington,2017,0
UT Arlington,2018,1
UT Arlington,2019,2
UT Arlington,2020,2
UT Arlington,2021,1
UT Arlington,2022,2
UT Martin,2017,0
UT Martin,2018,2
UT Martin,2019,1
UT Martin,2020,1
UT Martin,2021,2
UT Martin,2022,2
UT Rio Grande Valley,2017,1
UT Rio Grande Valley,2018,1
UT Rio Grande Valley,2019,1
UT Rio Grande Valley,2020,1
UT Rio Grande Valley,2021,1
UT Rio Grande Valley,2022,2
UTEP,2017,1
UTEP,2018,2
UTEP,2019,2
UTEP,2020,2
UTEP,2021,2
UTEP,2022,2
UTSA,2017,2
UTSA,2018,0
UTSA,2019,1
UTSA,2020,1
UTSA,2021,1
UTSA,2022,2
Utah,2017,0
Utah,2018,0
Utah,2019,0
Utah,2020,2
Utah,2021,0
Utah,2022,2
Utah State,2017,0
Utah State,2018,0
Utah State,2019,0
Utah State,2020,0
Utah State,2021,1
Utah State,2022,0
Utah Tech,2021,2
Utah Tech,2022,1
Utah Valley,2017,1
Utah Valley,2018,0
Utah Valley,2019,0
Utah Valley,2020,1
Utah Valley,2021,1
Utah Valley,2022,1
VCU,2017,1
VCU,2018,0
VCU,2019,1
VCU,2020,1
VCU,2021,1
VCU,2022,1
VMI,2017,2
VMI,2018,2
VMI,2019,0
VMI,2020,0
VMI,2021,0
VMI,2022,0
Valparaiso,2017,1
Valparaiso,2018,2
Valparaiso,2019,2
Valparaiso,2020,0
Valparaiso,2021,2
Valparaiso,2022,0
Vanderbilt,2017,0
Vanderbilt,2018,0
Vanderbilt,2019,2
Vanderbilt,2020,2
Vanderbilt,2021,2
Vanderbilt,2022,2
Vermont,2017,0
Vermont,2018,0
Vermont,2019,0
Vermont,2020,0
Vermont,2021,0
Vermont,2022,0
Villanova,2017,0
Villanova,2018,0
Villanova,2019,0
Villanova,2020,0
Villanova,2021,0
Villanova,2022,0
Virginia,2017,0
Virginia,2018,0
Virginia,2019,0
Virginia,2020,2
Virginia,2021,0
Virginia,2022,2
Virginia Tech,2017,0
Virginia Tech,2018,0
Virginia Tech,2019,0
Virginia Tech,2020,0
Virginia Tech,2021,0
Virginia Tech,2022,0
Wagner,2017,2
Wagner,2018,1
Wagner,2019,2
Wagner,2020,2
Wagner,2021,1
Wagner,2022,1
Wake Forest,2017,0
Wake Forest,2018,1
Wake Forest,2019,2
Wake Forest,2020,1
Wake Forest,2021,2
Wake Forest,2022,0
Washington,2017,1
Washington,2018,1
Washington,2019,2
Washington,2020,1
Washington,2021,2
Washington,2022,2
Washington State,2017,0
Washington State,2018,0
Washington State,2019,0
Washington State,2020,2
Washington State,2021,2
Washington State,2022,2
Weber State,2017,0
Weber State,2018,0
Weber State,2019,0
Weber State,2020,2
Weber State,2021,0
Weber State,2022,0
West Virginia,2017,1
West Virginia,2018,1
West Virginia,2019,1
West Virginia,2020,1
West Virginia,2021,1
West Virginia,2022,2
Western Carolina,2017,2
Western Carolina,2018,2
Western Carolina,2019,0
Western Carolina,2020,0
Western Carolina,2021,0
Western Carolina,2022,2
Western Illinois,2017,0
Western Illinois,2018,0
Western Illinois,2019,2
Western Illinois,2020,2
Western Illinois,2021,2
Western Illinois,2022,1
Western Kentucky,2017,2
Western Kentucky,2018,1
Western Kentucky,2019,1
Western Kentucky,2020,1
Western Kentucky,2021,1
Western Kentucky,2022,0
Western Michigan,2017,1
Western Michigan,2018,1
Western Michigan,2019,2
Western Michigan,2020,2
Western Michigan,2021,2
Western Michigan,2022,2
Wichita State,2017,0
Wichita State,2018,0
Wichita State,2019,2
Wichita State,2020,1
Wichita State,2021,2
Wichita State,2022,2
William & Mary,2017,0
William & Mary,2018,0
William & Mary,2019,0
William & Mary,2020,0
William & Mary,2021,2
William & Mary,2022,2
Winthrop,2017,0
Winthrop,2018,0
Winthrop,2019,0
Winthrop,2020,0
Winthrop,2021,1
Winthrop,2022,0
Wisconsin,2017,0
Wisconsin,2018,2
Wisconsin,2019,0
Wisconsin,2020,2
Wisconsin,2021,0
Wisconsin,2022,2
Wofford,2017,0
Wofford,2018,0
Wofford,2019,0
Wofford,2020,0
Wofford,2021,0
Wofford,2022,0
Wright State,2017,0
Wright State,2018,1
Wright State,2019,0
Wright State,2020,1
Wright State,2021,1
Wright State,2022,1
Wyoming,2017,0
Wyoming,2018,0
Wyoming,2019,2
Wyoming,2020,2
Wyoming,2021,0
Wyoming,2022,0
Xavier,2017,1
Xavier,2018,0
Xavier,2019,0
Xavier,2020,1
Xavier,2021,0
Xavier,2022,1
Yale,2017,0
Yale,2018,0
Yale,2019,0
Yale,2020,0
Yale,2022,1
Youngstown State,2017,1
Youngstown State,2018,1
Youngstown State,2019,1
Youngstown State,2020,1
Youngstown State,2021,1
Youngstown State,2022,0
